kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — mammalia,American Manatee,Trichechus manatus,Decreasing,Global,Vulnerable
animalia — chondrichthyes,Smalltooth Sawfish,Pristis pectinata,Decreasing,Global,Critically Endangered
animalia — reptilia,St Martin Anole,Anolis pogus,Increasing,Global,Near Threatened
animalia — aves,Grassland Yellow-finch,Sicalis luteola,Increasing,Global,Least Concern
animalia — mammalia,,Mormoops blainvillei,Unknown,Global,Least Concern
animalia — reptilia,,Leiocephalus cuneus,,Global,Extinct
