kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — chondrichthyes,Brazilian Sharpnose Shark,Rhizoprionodon lalandii,Decreasing,Global,Vulnerable
animalia — chondrichthyes,Sharpnose Sevengill Shark,Heptranchias perlo,Decreasing,Global,Near Threatened
animalia — reptilia,Broad-snouted Caiman,Caiman latirostris,Stable,Global,Least Concern
animalia — actinopterygii,Hawaiian Halosaurid Fish,Aldrovandia phalacra,Unknown,Global,Least Concern
animalia — actinopterygii,,Storrsia olsoni,Unknown,Global,Least Concern
animalia — actinopterygii,Brazilian Sand Stargazer,Platygillellus brasiliensis,Unknown,Global,Least Concern
animalia — actinopterygii,,Scartella itajobi,Stable,Global,Least Concern
animalia — actinopterygii,,Scartella poiti,Unknown,Global,Vulnerable
animalia — actinopterygii,,Paraclinus arcanus,Unknown,Global,Least Concern
animalia — actinopterygii,River Goby,Awaous tajasica,Unknown,Global,Least Concern
animalia — actinopterygii,Bearded Goby,Barbulifer ceuthoecus,Unknown,Global,Least Concern
animalia — actinopterygii,Irish Mojarra,Diapterus auratus,Unknown,Global,Least Concern
animalia — actinopterygii,Colon Goby,Coryphopterus dicrus,Unknown,Global,Least Concern
animalia — actinopterygii,,Phaenomonas longissima,Unknown,Global,Least Concern
animalia — actinopterygii,Yellow Conger,Rhynchoconger flavus,Unknown,Global,Least Concern
animalia — actinopterygii,,Bathycongrus thysanochilus,Unknown,Global,Least Concern
animalia — actinopterygii,Key Worm Eel,Ahlia egmontis,Unknown,Global,Least Concern
animalia — anthozoa,,Porites branneri,Stable,Global,Near Threatened
animalia — actinopterygii,French Grunt,Haemulon flavolineatum,Unknown,Global,Least Concern
animalia — actinopterygii,Bicoloured False Moray,Chlopsis bicolor,Unknown,Global,Least Concern
animalia — chondrichthyes,Painted Dwarf Numbfish,Diplobatis picta,Decreasing,Global,Vulnerable
animalia — reptilia,Indigo Snake,Drymarchon corais,Stable,Global,Least Concern
animalia — chondrichthyes,Broadbanded Lanternshark,Etmopterus gracilispinis,Stable,Global,Least Concern
animalia — chondrichthyes,Rio Skate,Rioraja agassizii,Decreasing,Global,Vulnerable
animalia — chondrichthyes,Freckle Sandskate,Psammobatis lentiginosa,Stable,Global,Least Concern
animalia — gastropoda,,Hirinaba curytibana,,Global,Critically Endangered
animalia — insecta,,Joiceya praeclarus,,Global,Endangered
animalia — gastropoda,,Megalobulimus proclivis,,Global,Critically Endangered
animalia — actinopterygii,Vermilion Snapper,Rhomboplites aurorubens,Decreasing,Global,Vulnerable
animalia — actinopterygii,Coco Sea Catfish,Bagre bagre,Unknown,Global,Least Concern
animalia — actinopterygii,,Acromycter atlanticus,Unknown,Global,Least Concern
animalia — actinopterygii,Torroto Grunt,Genyatremus cavifrons,Unknown,Global,Data Deficient
animalia — actinopterygii,Ridged Eel,Neoconger mucronatus,Unknown,Global,Least Concern
animalia — actinopterygii,Allied Halosaur,Aldrovandia affinis,Unknown,Global,Least Concern
animalia — actinopterygii,Yellow Goatfish,Mulloidichthys martinicus,Unknown,Global,Least Concern
