kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Bandfin Scorpionfish,Scorpaenopsis vittapinna,Unknown,Global,Least Concern
animalia — actinopterygii,Spineblotch Scorpionfish,Sebastapistes mauritiana,Unknown,Global,Least Concern
animalia — actinopterygii,Yellowspotted Scorpionfish,Sebastapistes cyanostigma,Unknown,Global,Least Concern
animalia — actinopterygii,Pygmy Scorpionfish,Sebastapistes fowleri,Unknown,Global,Least Concern
animalia — actinopterygii,Lattice Monocle Bream,Scolopsis taenioptera,Unknown,Global,Least Concern
animalia — actinopterygii,Crimsontip Longfin,Plesiops coeruleolineatus,Unknown,Global,Least Concern
animalia — actinopterygii,Blotched Podge,Aporops bilinearis,Stable,Global,Least Concern
animalia — actinopterygii,Red Bigeye,Priacanthus macracanthus,Unknown,Global,Least Concern
animalia — actinopterygii,Longsnout Flathead,Thysanophrys chiltonae,Unknown,Global,Least Concern
animalia — actinopterygii,Ambon Scorpionfish,Pteroidichthys amboinensis,Unknown,Global,Least Concern
animalia — actinopterygii,Blotchfin Scorpionfish,Scorpaenodes varipinnis,Unknown,Global,Least Concern
animalia — actinopterygii,,Scorpaenopsis eschmeyeri,Unknown,Global,Least Concern
animalia — actinopterygii,,Macropharyngodon kuiteri,Unknown,Global,Least Concern
animalia — actinopterygii,,Cephalopholis boenak,Stable,Global,Least Concern
animalia — actinopterygii,Freckled Hind,Cephalopholis microprion,Unknown,Global,Least Concern
animalia — actinopterygii,Coral Hind,Cephalopholis miniata,Stable,Global,Least Concern
animalia — actinopterygii,Tomato Hind,Cephalopholis sonnerati,Stable,Global,Least Concern
animalia — actinopterygii,Darkfin Hind,Cephalopholis urodeta,Stable,Global,Least Concern
animalia — actinopterygii,Humpback Grouper,Cromileptes altivelis,Decreasing,Global,Data Deficient
animalia — actinopterygii,Brownspotted Grouper,Epinephelus chlorostigma,Stable,Global,Least Concern
animalia — aves,New Caledonia Streaked Fantail,Rhipidura verreauxi,Stable,Global,Least Concern
animalia — aves,Fan-tailed Gerygone,Gerygone flavolateralis,Stable,Global,Least Concern
animalia — actinopterygii,,Osteomugil engeli,Unknown,Global,Least Concern
animalia — actinopterygii,,Trimma capostriatum,Unknown,Global,Least Concern
animalia — actinopterygii,Brown-marbled Grouper,Epinephelus fuscoguttatus,Decreasing,Global,Vulnerable
animalia — actinopterygii,Blacksaddle Grouper,Epinephelus howlandi,Unknown,Global,Least Concern
animalia — actinopterygii,Red-tipped Grouper,Epinephelus retouti,Unknown,Global,Least Concern
animalia — actinopterygii,Halfmoon Grouper,Epinephelus rivulatus,Unknown,Global,Least Concern
animalia — actinopterygii,Foursaddle Grouper,Epinephelus spilotoceps,Stable,Global,Least Concern
animalia — actinopterygii,Masked Grouper,Gracila albomarginata,Unknown,Global,Least Concern
animalia — actinopterygii,White-edged Lyre Tail,Variola albimarginata,Decreasing,Global,Least Concern
animalia — aves,Swamp Harrier,Circus approximans,Stable,Global,Least Concern
animalia — actinopterygii,Yellowfoot shrimpgoby,Vanderhorstia phaeostictus,Unknown,Global,Data Deficient
animalia — actinopterygii,Chinese Ghoul,Inimicus caledonicus,Unknown,Global,Least Concern
animalia — actinopterygii,North Pacific Crestfish,Lophotus capellei,Unknown,Global,Least Concern
animalia — actinopterygii,Spectacled Filefish,Cantherhines fronticinctus,Unknown,Global,Least Concern
animalia — actinopterygii,Harlequin Filefish,Oxymonacanthus longirostris,Decreasing,Global,Vulnerable
animalia — actinopterygii,Orangetail Filefish,Pervagor aspricaudus,Unknown,Global,Least Concern
animalia — actinopterygii,False Puffer,Paraluteres prionurus,Unknown,Global,Least Concern
animalia — actinopterygii,Modest Filefish,Thamnaconus modestoides,Stable,Global,Least Concern
animalia — actinopterygii,,Scorpaenopsis gilchristi,Unknown,Global,Data Deficient
animalia — actinopterygii,,Scorpaenopsis longispina,Unknown,Global,Data Deficient
animalia — actinopterygii,Corrugated Pipefish,Bhanotia fasciolata,Unknown,Global,Least Concern
animalia — actinopterygii,Samoan Pipefish,Halicampus mataafae,Unknown,Global,Least Concern
animalia — actinopterygii,Blotcheye Soldierfish,Myripristis berndti,Unknown,Global,Least Concern
animalia — actinopterygii,Barred Spinefoot,Siganus doliatus,Unknown,Global,Least Concern
animalia — actinopterygii,Forktail Rabbitfish,Siganus argenteus,Unknown,Global,Least Concern
animalia — actinopterygii,Long-rayed Sand Diver,Trichonotus elegans,Unknown,Global,Least Concern
animalia — actinopterygii,Scribbled Rabbitfish,Siganus spinus,Unknown,Global,Least Concern
animalia — actinopterygii,Radial Leatherjacket,Acreichthys radiatus,Unknown,Global,Least Concern
animalia — actinopterygii,Bristletail Filefish,Acreichthys tomentosus,Stable,Global,Least Concern
animalia — actinopterygii,,Cocotropus dermacanthus,Unknown,Global,Least Concern
animalia — actinopterygii,,Beryx mollis,Unknown,Global,Least Concern
animalia — actinopterygii,Snakehead Gudgeon,Giuris margaritacea,Unknown,Global,Least Concern
animalia — chondrichthyes,Tailspot Lanternshark,Etmopterus caudistigmus,Unknown,Global,Least Concern
animalia — chondrichthyes,Chesterfield Stingaree,Urolophus deforgesi,Unknown,Global,Least Concern
animalia — actinopterygii,Dark-striped Squirrelfish ,Sargocentron praslin,Unknown,Global,Least Concern
animalia — gastropoda,,Neritina pulligera,Unknown,Global,Least Concern
animalia — gastropoda,,Auriculastra subula,Unknown,Global,Least Concern
animalia — actinopterygii,Live Sharksucker,Echeneis naucrates,Stable,Global,Least Concern
animalia — actinopterygii,Striated Frogfish,Antennarius striatus,Stable,Global,Least Concern
animalia — actinopterygii,Hairy Scorpionfish,Scorpaenodes hirsutus,Unknown,Global,Least Concern
animalia — actinopterygii,Oxeye Scad,Selar boops,Unknown,Global,Least Concern
animalia — actinopterygii,Glasseye Snapper,Heteropriacanthus cruentatus,Unknown,Global,Least Concern
animalia — actinopterygii,Spotfin Burrfish,Chilomycterus reticulatus,Unknown,Global,Least Concern
animalia — actinopterygii,,Bassozetus compressus,Unknown,Global,Least Concern
animalia — actinopterygii,Glasshead Barreleye,Rhynchohyalus natalensis,Unknown,Global,Least Concern
animalia — actinopterygii,Bigeye Lightfish,Woodsia nonsuchae,Unknown,Global,Least Concern
animalia — actinopterygii,Largepore Tubeshoulder,Mentodus perforatus,Unknown,Global,Least Concern
