kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Pike Icefish,Champsocephalus esox,Decreasing,Global,Vulnerable
animalia — actinopterygii,Fuegian Sprat,Sprattus fuegensis,Decreasing,Global,Least Concern
animalia — aves,Northern Royal Albatross,Diomedea sanfordi,Decreasing,Global,Endangered
animalia — aves,Collared Sand Martin,Riparia riparia,Decreasing,Global,Least Concern
animalia — actinopterygii,Horsefish,Congiopodus peruvianus,Unknown,Global,Least Concern
animalia — chondrichthyes,Whale Shark,Rhincodon typus,Decreasing,Global,Endangered
animalia — chondrichthyes,Apron Numbfish,Discopyge tschudii,Stable,Global,Least Concern
animalia — mammalia,Guanaco,Lama guanicoe,Increasing,Global,Least Concern
animalia — actinopterygii,Balbo Sabretooth,Evermannella balbo,Unknown,Global,Least Concern
animalia — aves,Austral Rail,Rallus antarcticus,Decreasing,Global,Vulnerable
animalia — mammalia,Large Hairy Armadillo,Chaetophractus villosus,Stable,Global,Least Concern
animalia — mammalia,Pichi,Zaedyus pichiy,Decreasing,Global,Near Threatened
animalia — anthozoa,,Porites lutea,Unknown,Global,Least Concern
animalia — amphibia,Pehuenche Spiny-chest Frog,Alsodes pehuenche,Decreasing,Global,Critically Endangered
animalia — insecta,Moscardón,Bombus dahlbomii,Decreasing,Global,Endangered
animalia — aves,Green-backed Heron,Butorides striata,Decreasing,Global,Least Concern
animalia — aves,Short-eared Owl,Asio flammeus,Decreasing,Global,Least Concern
animalia — actinopterygii,Bean's Bigscale,Scopelogadus beanii,Stable,Global,Data Deficient
animalia — aves,Harris's Hawk,Parabuteo unicinctus,Decreasing,Global,Least Concern
animalia — aves,Grey Plover,Pluvialis squatarola,Decreasing,Global,Least Concern
animalia — actinopterygii,Magellan Plunderfish,Harpagifer bispinis,Unknown,Global,Least Concern
animalia — actinopterygii,Black Southern Cod,Patagonotothen tessellata,Unknown,Global,Data Deficient
animalia — aves,Red Knot,Calidris canutus,Decreasing,Global,Near Threatened
animalia — aves,Chatham Petrel,Pterodroma axillaris,Increasing,Global,Vulnerable
animalia — aves,Juan Fernandez Petrel,Pterodroma externa,Stable,Global,Vulnerable
animalia — aves,Black-crowned Night-heron,Nycticorax nycticorax,Decreasing,Global,Least Concern
animalia — actinopterygii,Stoplight Loosejaw,Malacosteus niger,Unknown,Global,Least Concern
animalia — mammalia,Blue Whale,Balaenoptera musculus,Increasing,Global,Endangered
animalia — aves,Northern Giant Petrel,Macronectes halli,Increasing,Global,Least Concern
animalia — mammalia,Humpback Whale,Megaptera novaeangliae,Increasing,Global,Least Concern
animalia — chondrichthyes,Porbeagle,Lamna nasus,Decreasing,Global,Vulnerable
animalia — aves,White-tailed Tropicbird,Phaethon lepturus,Decreasing,Global,Least Concern
animalia — aves,Chilean Woodstar,Eulidia yarrellii,Decreasing,Global,Critically Endangered
animalia — cephalaspidomorphi,Pouched Lamprey,Geotria australis,Unknown,Global,Data Deficient
animalia — chondrichthyes,Blue Shark,Prionace glauca,Decreasing,Global,Near Threatened
animalia — mammalia,Short-finned Pilot Whale,Globicephala macrorhynchus,Unknown,Global,Least Concern
animalia — actinopterygii,Silver Hatchetfish,Argyropelecus olfersii,Unknown,Global,Least Concern
animalia — actinopterygii,Silver Spinyfin,Diretmus argenteus,Unknown,Global,Least Concern
animalia — aves,Macaroni Penguin,Eudyptes chrysolophus,Decreasing,Global,Vulnerable
