kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — reptilia,High Mountain Lizard,Phymaturus palluma,Stable,Global,Least Concern
animalia — reptilia,Black-and-white Tegu,Salvator merianae,Stable,Global,Least Concern
animalia — reptilia,Southern Blind Snake,Rena unguirostris,Stable,Global,Least Concern
animalia — actinopterygii,Tapertail,Radiicephalus elongatus,Unknown,Global,Least Concern
animalia — actinopterygii,Deepsea Anglerfish ,Linophryne arborifera,Unknown,Global,Least Concern
animalia — actinopterygii,,Bolinichthys supralateralis,Unknown,Global,Least Concern
animalia — mammalia,Tailed Tailless Bat,Anoura caudifer,Unknown,Global,Least Concern
animalia — mammalia,Lesser Grison,Galictis cuja,Unknown,Global,Least Concern
animalia — amphibia,,Pleurodema cordobae,Stable,Global,Least Concern
animalia — mammalia,,Phyllotis alisosiensis,Unknown,Global,Data Deficient
animalia — reptilia,,Phymaturus yachanana,Unknown,Global,Least Concern
animalia — reptilia,,Ophiodes intermedius,Stable,Global,Least Concern
animalia — reptilia,South American Worm Lizard,Amphisbaena angustifrons,Unknown,Global,Least Concern
animalia — reptilia,,Amphisbaena heterozonata,Stable,Global,Least Concern
animalia — reptilia,Arrow Ground Snake,Erythrolamprus sagittifer,Stable,Global,Least Concern
animalia — reptilia,False Tomodon Snake,Pseudotomodon trigonatus,Stable,Global,Least Concern
animalia — reptilia,Painted Coral Snake,Micrurus corallinus,Unknown,Global,Least Concern
animalia — reptilia,Southern Coral Snake,Micrurus frontalis,Unknown,Global,Least Concern
animalia — reptilia,Degerbol's Blind Snake,Siagonodon borrichianus,Unknown,Global,Least Concern
animalia — reptilia,,Liolaemus araucaniensis,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus caparensis,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus chehuachekenk,Unknown,Global,Least Concern
animalia — reptilia,Chaco Tree Iguana,Liolaemus chacoensis,Decreasing,Global,Least Concern
animalia — reptilia,,Liolaemus cinereus,Unknown,Global,Data Deficient
animalia — reptilia,Donoso-Barros' Tree Iguana,Liolaemus donosobarrosi,Unknown,Global,Least Concern
animalia — reptilia,,Liolaemus escarchadosi,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus gracielae,Unknown,Global,Least Concern
animalia — reptilia,,Liolaemus grosseorum,Unknown,Global,Least Concern
animalia — reptilia,,Liolaemus martorii,Decreasing,Global,Vulnerable
animalia — reptilia,,Liolaemus neuquensis,Unknown,Global,Data Deficient
animalia — reptilia,Many-spotted Tree Iguana,Liolaemus multimaculatus,Decreasing,Global,Endangered
animalia — reptilia,,Liolaemus poecilochromus,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus puritamensis,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus quilmes,Stable,Global,Near Threatened
animalia — reptilia,Robert's Tree Iguana,Liolaemus robertmertensi,Stable,Global,Least Concern
animalia — reptilia,Ruibal's Tree Iguana,Liolaemus ruibali,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus sagei,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus saxatilis,Stable,Global,Least Concern
animalia — reptilia,Shoulder Tree Iguana,Liolaemus scapularis,Decreasing,Global,Endangered
animalia — reptilia,,Liolaemus senguer,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus shitan,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus tari,Stable,Global,Least Concern
animalia — reptilia,,Liolaemus tristis,Unknown,Global,Least Concern
animalia — reptilia,,Liolaemus wiegmannii,Stable,Global,Least Concern
animalia — reptilia,Cei's Marked Gecko,Homonota andicola,Unknown,Global,Least Concern
animalia — reptilia,,Homonota taragui,Unknown,Global,Critically Endangered
animalia — reptilia,,Phymaturus denotatus,Stable,Global,Least Concern
animalia — reptilia,,Phymaturus extrilidus,Stable,Global,Least Concern
animalia — reptilia,,Phymaturus felixi,Stable,Global,Least Concern
animalia — reptilia,,Phymaturus nevadoi,Unknown,Global,Least Concern
animalia — reptilia,,Phymaturus payuniae,Unknown,Global,Near Threatened
animalia — reptilia,,Phymaturus spectabilis,Stable,Global,Least Concern
animalia — reptilia,,Phymaturus spurcus,Stable,Global,Least Concern
animalia — reptilia,,Phymaturus tenebrosus,Decreasing,Global,Endangered
animalia — reptilia,,Phymaturus zapalensis,Stable,Global,Least Concern
animalia — actinopterygii,Smalleye Smooth-head,Alepocephalus productus,Unknown,Global,Least Concern
animalia — reptilia,Cope's Mabuya,Notomabuya frenata,Stable,Global,Least Concern
animalia — actinopterygii,Nacreous lanternfish,Lampanyctus vadulus,Unknown,Global,Least Concern
animalia — actinopterygii,Orange bellowsfish ,Notopogon fernandezianus,Unknown,Global,Least Concern
animalia — actinopterygii,,Astronesthes haplophos,Unknown,Global,Least Concern
animalia — arachnida,Spotted Golden Orb Weaver,Nephila sexpunctata,Unknown,Global,Least Concern
animalia — aves,Ochre-collared Piculet,Picumnus temminckii,Unknown,Global,Least Concern
animalia — aves,White-barred Piculet,Picumnus cirratus,Decreasing,Global,Least Concern
animalia — aves,Striped Woodpecker,Veniliornis lignarius,Stable,Global,Least Concern
animalia — aves,Chilean Flicker,Colaptes pitius,Stable,Global,Least Concern
animalia — aves,Black-billed Cuckoo,Coccyzus erythropthalmus,Decreasing,Global,Least Concern
animalia — aves,Black-banded Owl,Ciccaba huhula,Decreasing,Global,Least Concern
animalia — aves,Striped Owl,Asio clamator,Stable,Global,Least Concern
animalia — aves,Silky-tailed Nightjar,Antrostomus sericocaudatus,Decreasing,Global,Least Concern
animalia — aves,Scissor-tailed Nightjar,Hydropsalis torquata,Stable,Global,Least Concern
animalia — aves,Lyre-tailed Nightjar,Uropsalis lyra,Stable,Global,Least Concern
animalia — aves,Picazuro Pigeon,Patagioenas picazuro,Increasing,Global,Least Concern
animalia — aves,Spot-flanked Gallinule,Porphyriops melanops,Stable,Global,Least Concern
animalia — aves,White-bellied Seedsnipe,Attagis malouinus,Stable,Global,Least Concern
animalia — aves,Grey-breasted Seedsnipe,Thinocorus orbignyianus,Stable,Global,Least Concern
animalia — aves,Upland Sandpiper,Bartramia longicauda,Increasing,Global,Least Concern
animalia — aves,Spotted Sandpiper,Actitis macularius,Decreasing,Global,Least Concern
animalia — aves,Magellanic Oystercatcher,Haematopus leucopodus,Stable,Global,Least Concern
animalia — aves,American Oystercatcher,Haematopus palliatus,Stable,Global,Least Concern
animalia — aves,Tawny-throated Dotterel,Oreopholus ruficollis,Decreasing,Global,Least Concern
animalia — aves,White-tailed Kite,Elanus leucurus,Increasing,Global,Least Concern
animalia — aves,Buff-necked Ibis,Theristicus caudatus,Stable,Global,Least Concern
animalia — aves,Bran-colored Flycatcher,Myiophobus fasciatus,Increasing,Global,Least Concern
animalia — aves,Smoke-colored Pewee,Contopus fumigatus,Stable,Global,Least Concern
animalia — aves,Andean Negrito,Lessonia oreas,Stable,Global,Least Concern
animalia — aves,Hudson's Black-tyrant,Knipolegus hudsoni,Stable,Global,Least Concern
animalia — aves,Spectacled Tyrant,Hymenops perspicillatus,Stable,Global,Least Concern
animalia — aves,Austral Negrito,Lessonia rufa,Stable,Global,Least Concern
animalia — aves,White-headed Marsh-tyrant,Arundinicola leucocephala,Stable,Global,Least Concern
animalia — aves,Shear-tailed Grey Tyrant,Muscipipra vetula,Stable,Global,Least Concern
animalia — aves,Sibilant Sirystes,Sirystes sibilator,Decreasing,Global,Least Concern
animalia — aves,Swainson's Flycatcher,Myiarchus swainsoni,Stable,Global,Least Concern
animalia — aves,Dusky-capped Flycatcher,Myiarchus tuberculifer,Decreasing,Global,Least Concern
animalia — aves,Large-headed Flatbill,Ramphotrigon megacephalum,Decreasing,Global,Least Concern
animalia — aves,Eastern Kingbird,Tyrannus tyrannus,Decreasing,Global,Least Concern
animalia — aves,Lesser Kiskadee,Philohydor lictor,Stable,Global,Least Concern
animalia — aves,Green-backed Becard,Pachyramphus viridis,Stable,Global,Least Concern
animalia — aves,Band-tailed Manakin,Pipra fasciicauda,Decreasing,Global,Least Concern
animalia — aves,Short-billed Miner,Geositta antarctica,Stable,Global,Least Concern
animalia — aves,Slender-billed Miner,Geositta tenuirostris,Stable,Global,Least Concern
animalia — aves,Chaco Earthcreeper,Tarphonomus certhioides,Stable,Global,Least Concern
animalia — aves,Straight-billed Earthcreeper,Ochetorhynchus ruficaudus,Decreasing,Global,Least Concern
