kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — anthozoa,,Lithophyllon ranjithi,Unknown,Global,Endangered
animalia — anthozoa,,Anacropora pillai,Decreasing,Global,Data Deficient
animalia — actinopterygii,Blunthead Puffer,Sphoeroides pachygaster,Unknown,Global,Least Concern
animalia — actinopterygii,Longfinned Bullseye,Cookeolus japonicus,Unknown,Global,Least Concern
animalia — anthozoa,,Heterocyathus alternatus,Unknown,Global,Least Concern
animalia — anthozoa,,Acropora glauca,Decreasing,Global,Near Threatened
animalia — anthozoa,,Porites flavus,Unknown,Global,Data Deficient
animalia — anthozoa,,Porites deformis,Unknown,Global,Near Threatened
animalia — anthozoa,,Acropora yongei,Decreasing,Global,Least Concern
animalia — anthozoa,,Pseudosiderastrea tayami,Unknown,Global,Near Threatened
animalia — anthozoa,,Echinophyllia orpheensis,Unknown,Global,Least Concern
animalia — anthozoa,,Acropora jacquelineae,Decreasing,Global,Vulnerable
animalia — anthozoa,,Australogyra zelli,Decreasing,Global,Vulnerable
animalia — anthozoa,,Goniopora stutchburyi,Unknown,Global,Least Concern
animalia — anthozoa,,Favites stylifera,Decreasing,Global,Near Threatened
animalia — anthozoa,,Isopora cylindrica,Decreasing,Global,Data Deficient
animalia — actinopterygii,Palechin Moray,Gymnothorax herrei,Unknown,Global,Least Concern
animalia — actinopterygii,Giant Moray,Gymnothorax javanicus,Unknown,Global,Least Concern
animalia — actinopterygii,Golden Moray,Gymnothorax melatremus,Unknown,Global,Least Concern
animalia — actinopterygii,,Gymnothorax monochrous,Unknown,Global,Least Concern
animalia — actinopterygii,False Brown Moray,Gymnothorax pseudoherrei,Unknown,Global,Least Concern
animalia — actinopterygii,Bar-cheeked Eel,Gymnothorax pictus,Unknown,Global,Least Concern
animalia — actinopterygii,Pygmy Moray,Gymnothorax robinsi,Unknown,Global,Least Concern
animalia — actinopterygii,Black Snake Moray,Uropterygius inornatus,Unknown,Global,Least Concern
animalia — actinopterygii,Freshwater waspfish,Tetraroge nigra,Unknown,Global,Least Concern
animalia — actinopterygii,Crimson Snapper,Lutjanus erythropterus,Unknown,Global,Least Concern
animalia — actinopterygii,Barred Moray,Echidna polyzona,Unknown,Global,Least Concern
animalia — actinopterygii,cá bống xệ,Parapocryptes serperaster,Stable,Global,Least Concern
animalia — actinopterygii,Buro Moray,Gymnothorax buroensis,Unknown,Global,Least Concern
animalia — actinopterygii,,Rasbora sumatrana,Unknown,Global,Data Deficient
animalia — actinopterygii,Giant Mudskipper,Periophthalmodon schlosseri,Unknown,Global,Least Concern
animalia — reptilia,,Calamaria lumbricoidea,Stable,Global,Least Concern
animalia — actinopterygii,Milkspotted Puffer,Chelonodon patoca,Unknown,Global,Least Concern
animalia — reptilia,Amethystine Python,Morelia amethistina,Stable,Global,Least Concern
animalia — holothuroidea,,Holothuria tripilata,Unknown,Global,Data Deficient
animalia — holothuroidea,,Actinopyga lecanora,Unknown,Global,Data Deficient
animalia — holothuroidea,,Labidodemas pertinax,Unknown,Global,Least Concern
animalia — holothuroidea,,Bohadschia tenuissima,Unknown,Global,Data Deficient
animalia — holothuroidea,,Holothuria horrida,Unknown,Global,Data Deficient
animalia — holothuroidea,Black Teatfish,Holothuria nobilis,,Global,Endangered
animalia — holothuroidea,,Actinopyga mauritiana,Decreasing,Global,Vulnerable
animalia — holothuroidea,,Holothuria klunzingeri,Unknown,Global,Data Deficient
animalia — holothuroidea,,Holothuria aphanes,Unknown,Global,Data Deficient
animalia — actinopterygii,Stobb's Dwarfgoby ,Trimma stobbsi,Stable,Global,Least Concern
animalia — actinopterygii,Flame Goby,Trimma macrophthalmum,Unknown,Global,Least Concern
animalia — actinopterygii,Pale Sandgoby,Fusigobius pallidus,Unknown,Global,Least Concern
animalia — actinopterygii,,Valenciennea muralis,Stable,Global,Least Concern
animalia — actinopterygii,Whip Coral Goby,Bryaninops yongei,Unknown,Global,Least Concern
animalia — actinopterygii,Redearth Dwarfgoby,Trimma milta,Unknown,Global,Least Concern
animalia — actinopterygii,Brownboy Goby,Bathygobius laddi,Unknown,Global,Least Concern
animalia — actinopterygii,Ring-eye Pygmy-goby,Trimma benjamini,Stable,Global,Least Concern
animalia — actinopterygii,Emerald Coral Goby,Paragobiodon xanthosomus,Unknown,Global,Least Concern
animalia — actinopterygii,Wolfsnout Goby,Luposicya lupus,Unknown,Global,Least Concern
animalia — actinopterygii,Indonesian Goby,Mugilogobius platystoma,Unknown,Global,Least Concern
animalia — actinopterygii,,Kottelatlimia katik,Decreasing,Global,Least Concern
animalia — actinopterygii,,Labiobarbus ocellatus,Unknown,Global,Least Concern
animalia — reptilia,Garden Flying Snake,Chrysopelea paradisi,Stable,Global,Least Concern
animalia — reptilia,Equatorial Spitting Cobra,Naja sumatrana,Increasing,Global,Least Concern
animalia — gastropoda,,Pila scutata,Unknown,Global,Least Concern
animalia — bivalvia,Fingerprint Oyster,Alectryonella plicatula,Unknown,Global,Data Deficient
animalia — actinopterygii,Pinjalo,Pinjalo pinjalo,Unknown,Global,Least Concern
animalia — reptilia,Common Mabuya,Eutropis multifasciata,Stable,Global,Least Concern
animalia — reptilia,Tokay Gecko,Gekko gecko,Unknown,Global,Least Concern
animalia — chondrichthyes,Eyebrow Wedgefish,Rhynchobatus palpebratus,Decreasing,Global,Near Threatened
animalia — actinopterygii,Canton Moray,Anarchias cantonensis,Unknown,Global,Least Concern
animalia — actinopterygii,Tang's Snapper,Lipocheilus carnolabrum,Unknown,Global,Least Concern
