kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — amphibia,Las Vegas Leopard Frog,Lithobates fisheri,,Global,Extinct
animalia — insecta,Ko'olau Giant Looper Moth,Scotorythra nesiotes,,Global,Extinct
animalia — actinopterygii,Clear Lake Splittail,Pogonichthys ciscoides,,Global,Extinct
animalia — bivalvia,,Epioblasma biemarginata,,Global,Extinct
animalia — bivalvia,,Epioblasma flexuosa,,Global,Extinct
animalia — bivalvia,,Epioblasma sampsonii,,Global,Extinct
animalia — bivalvia,,Epioblasma lewisii,,Global,Extinct
animalia — bivalvia,,Epioblasma stewardsonii,,Global,Extinct
animalia — insecta,Confused Moth,Helicoverpa confusa,,Global,Extinct
animalia — gastropoda,,Achatinella buddii,,Global,Extinct
animalia — insecta,Procellaris Grotis Noctuid Moth,Agrotis procellaris,,Global,Extinct
animalia — bivalvia,,Alasmidonta wrightiana,,Global,Extinct
animalia — insecta,Pecatonica River Mayfly,Acanthametropus pecatonica,,Global,Extinct
animalia — insecta,,Alloperla roberti,,Global,Extinct
animalia — gastropoda,,Amastra crassilabrum,,Global,Extinct
animalia — gastropoda,,Amastra elongata,,Global,Extinct
animalia — gastropoda,,Perdicella zebra,,Global,Extinct
animalia — bivalvia,,Pleurobema altum,,Global,Extinct
animalia — bivalvia,,Pleurobema bournianum,,Global,Extinct
animalia — bivalvia,,Pleurobema flavidulum,,Global,Extinct
animalia — bivalvia,,Pleurobema johannis,,Global,Extinct
animalia — bivalvia,,Pleurobema nucleopsis,,Global,Extinct
animalia — insecta,,Campsicnemus mirabilis,,Global,Extinct
animalia — gastropoda,,Carelia cochlea,,Global,Extinct
animalia — gastropoda,,Carelia hyattiana,,Global,Extinct
animalia — gastropoda,,Carelia periscelis,,Global,Extinct
animalia — gastropoda,,Carelia pilsbryi,,Global,Extinct
animalia — gastropoda,,Clappia umbilicata,,Global,Extinct
animalia — gastropoda,Corded Pyrg,Pyrgulopsis nevadensis,,Global,Extinct
animalia — gastropoda,Teardrop Elimia,Elimia lachryma,,Global,Extinct
animalia — actinopterygii,,Coregonus alpenae,,Global,Extinct
animalia — gastropoda,Wrinkled Elimia,Elimia macglameriana,,Global,Extinct
animalia — gastropoda,,Cookeconcha contorta,,Global,Critically Endangered
animalia — gastropoda,,Endodonta apiculata,,Global,Critically Endangered
animalia — actinopterygii,Ash Meadows Poolfish,Empetrichthys merriami,,Global,Extinct
animalia — actinopterygii,,Moxostoma lacerum,,Global,Extinct
animalia — bivalvia,Ovate Clubshell,Pleurobema perovatum,,Global,Extinct
animalia — gastropoda,Fish Springs Marshsnail,Stagnicola pilsbryi,,Global,Extinct
animalia — actinopterygii,Snake River Sucker,Chasmistes muriei,,Global,Extinct
animalia — gastropoda,Fusiform Elimia,Elimia fusiformis,,Global,Extinct
animalia — gastropoda,Hearty Elimia,Elimia jonesi,,Global,Extinct
animalia — gastropoda,,Amastra umbilicata,,Global,Extinct
animalia — insecta,Kaholuamano Noctuid Moth,Hypena senicula,,Global,Extinct
animalia — insecta,Hilo Noctuid Moth,Hypena newelli,,Global,Extinct
animalia — gastropoda,Oblong Rocksnail,Leptoxis compacta,,Global,Extinct
animalia — gastropoda,Squat Rocksnail,Leptoxis torrefacta,,Global,Extinct
animalia — insecta,Levuana Moth,Levuana irridescens,,Global,Extinct
animalia — bivalvia,,Medionidus mcglameriae,,Global,Extinct
animalia — insecta,Maui Upland Damselfly,Megalagrion jugorum,Unknown,Global,Critically Endangered
animalia — malacostraca,,Procambarus delicatus,Unknown,Global,Critically Endangered
animalia — aves,Greater Amakihi,Viridonia sagittirostris,,Global,Extinct
animalia — aves,Oahu Akepa,Loxops wolstenholmei,,Global,Extinct
animalia — actinopterygii,Yaqui Sucker,Catostomus bernardini,Unknown,Global,Least Concern
animalia — aves,Maui Akepa,Loxops ochraceus,Unknown,Global,Critically Endangered
animalia — aves,Carolina Parakeet,Conuropsis carolinensis,,Global,Extinct
animalia — aves,Oahu Oo,Moho apicalis,,Global,Extinct
animalia — aves,Bachman's Warbler,Vermivora bachmanii,Unknown,Global,Critically Endangered
animalia — gastropoda,Angled Flat-top Snail,Neoplanorbis smithi,,Global,Extinct
animalia — gastropoda,Rough-lined Elimia,Elimia pilsbryi,,Global,Extinct
animalia — bivalvia,Recovery Pearly Mussel,Elliptio nigella,Decreasing,Global,Critically Endangered
animalia — bivalvia,,Lampsilis binominata,,Global,Extinct
animalia — gastropoda,Boulder Snail,Athearnia crassa,,Global,Extinct
animalia — gastropoda,Interrupted Rocksnail,Leptoxis foremanii,,Global,Extinct
animalia — gastropoda,Maiden Rocksnail,Leptoxis formosa,,Global,Extinct
animalia — gastropoda,Lyrate Rocksnail,Leptoxis lirata,,Global,Extinct
animalia — gastropoda,Bigmouth Rocksnail,Leptoxis occultata,,Global,Extinct
animalia — bivalvia,,Pleurobema avellanum,,Global,Extinct
animalia — insecta,,Trigonoscuta yorbalindae,,Global,Extinct
animalia — mammalia,Sea Mink,Neovison macrodon,,Global,Extinct
animalia — gastropoda,,Carelia bicolor,,Global,Extinct
animalia — gastropoda,,Carelia necra,,Global,Extinct
animalia — gastropoda,,Carelia olivacea,,Global,Extinct
animalia — gastropoda,,Carelia lirata,,Global,Extinct
animalia — gastropoda,,Carelia mirabilis,,Global,Extinct
animalia — gastropoda,,Carelia sinclairi,,Global,Extinct
animalia — gastropoda,,Carelia tenebrosa,,Global,Extinct
animalia — insecta,Kona Giant Looper Moth,Scotorythra megalophylla,,Global,Extinct
animalia — gastropoda,Golden Pebblesnail,Somatogyrus aureus,Unknown,Global,Data Deficient
animalia — gastropoda,,Auriculella expansa,,Global,Extinct
animalia — gastropoda,High-spired Elimia,Elimia hartmaniana,,Global,Extinct
animalia — bivalvia,,Epioblasma haysiana,,Global,Extinct
animalia — gastropoda,Excised Slitshell,Gyrotoma excisa,,Global,Extinct
animalia — gastropoda,Round Slitshell,Gyrotoma walkeri,,Global,Extinct
animalia — gastropoda,,Achatinella casta,,Global,Extinct
animalia — gastropoda,,Achatinella juddii,,Global,Extinct
animalia — gastropoda,,Achatinella juncea,,Global,Extinct
animalia — gastropoda,,Achatinella thaanumi,,Global,Extinct
animalia — gastropoda,,Achatinella valida,,Global,Extinct
animalia — bivalvia,,Alasmidonta robusta,,Global,Extinct
animalia — bivalvia,Coosa Elktoe,Alasmidonta mccordi,,Global,Extinct
animalia — gastropoda,,Amastra subrostrata,,Global,Extinct
animalia — gastropoda,,Amastra tenuispira,,Global,Extinct
animalia — insecta,,Phyllococcus oahuensis,,Global,Extinct
animalia — aves,Kona Grosbeak,Chloridops kona,,Global,Extinct
