"COU","Country","SMALL_SUBNATIONAL_REGION","Small subnational region","LARGE_SUBNATIONAL_REGION","Large subnational region","MEAS","Measure","VARIABLE","Land cover class","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","1992","1992",,,"0","Units",,,911.890686628,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2004","2004",,,"0","Units",,,890.559607072,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2015","2015",,,"0","Units",,,896.524077056,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2018","2018",,,"0","Units",,,904.70659784,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","1992","1992",,,"0","Units",,,1205.405426276,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2004","2004",,,"0","Units",,,1221.284737904,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2015","2015",,,"0","Units",,,1223.584941596,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2018","2018",,,"0","Units",,,1297.844432256,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","1992","1992",,,"0","Units",,,2795.746536048,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2004","2004",,,"0","Units",,,2809.424799356,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2015","2015",,,"0","Units",,,2831.480416412,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2018","2018",,,"0","Units",,,2756.868897132,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","1992","1992",,,"0","Units",,,597.956509488,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","2004","2004",,,"0","Units",,,630.199394288,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","2015","2015",,,"0","Units",,,630.741155128,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","2018","2018",,,"0","Units",,,631.313211296,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","1992","1992",,,"0","Units",,,0.10001523755671,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2004","2004",,,"0","Units",,,0.13648225485404,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2015","2015",,,"0","Units",,,0.15492950978117,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2018","2018",,,"0","Units",,,0.15931856685273,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WATER","Inland water","1992","1992",,,"0","Units",,,0.1713053780566,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WATER","Inland water","2004","2004",,,"0","Units",,,0.16581605325656,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WATER","Inland water","2015","2015",,,"0","Units",,,0.16407504726946,,
"AUS","Australia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WATER","Inland water","2018","2018",,,"0","Units",,,0.16437238986761,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","1992","1992",,,"0","Units",,,47.328412464,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2004","2004",,,"0","Units",,,45.843941392,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2015","2015",,,"0","Units",,,45.134937976,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2018","2018",,,"0","Units",,,45.04072878,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","1992","1992",,,"0","Units",,,11.341890704,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2004","2004",,,"0","Units",,,12.269762408,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2015","2015",,,"0","Units",,,12.757501732,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2018","2018",,,"0","Units",,,12.857429944,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","1992","1992",,,"0","Units",,,0,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","2004","2004",,,"0","Units",,,0,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","2015","2015",,,"0","Units",,,0,,
"AUT","Austria","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","2018","2018",,,"0","Units",,,0,,
