Country,Artificial surfaces,Bare area,Cropland,Grassland,Inland water,Shrubland,Sparse vegetation,Tree cover,Wetland
Afghanistan,0.0014417090858298998,0.39153979550646,0.12120420901227,0.37161204670205,0.0009918055340539,0.03545002185263,0.065288259547029,0.012361298253988,0.00011085450568319999
Albania,0.010767362237551998,0.016824003496175,0.48785856576375997,0.05348826609541,0.022596446448728,0.030535231206047005,0.013287611366859998,0.36185951487885,0.0027829985066183
Algeria,0.0012307328017821999,0.8998898600363701,0.045990713558555,3.80195483845e-05,0.0006435975830906,0.007158147147324901,0.036376103379821,0.0086631543051719,9.6716395013e-06
American Samoa,0.00038505968425110005,0.0,0.59992298806315,0.0,0.04736234116288,0.0,0.0007701193685021,0.35155949172122,0.0
Andorra,0.0087763713080169,0.04135021097046399,0.010126582278481,0.23881856540083998,0.0,0.000337552742616,0.10464135021097,0.59594936708861,0.0
Angola,0.001008521566661,0.024249129905982998,0.058411188174831,0.13151874215973,0.0018282418820083,0.17615162909477,0.0003806218437872,0.6005910760845601,0.0058608492876757986
Anguilla,0.012795275590551,0.0009842519685039,0.017716535433071005,0.60334645669291,0.11712598425197002,0.0,0.0,0.12007874015747999,0.12795275590551
Antarctica,0.0,0.97324397114736,0.0,0.0,0.026749814830512995,0.0,6.2140221220000006e-06,0.0,0.0
Antigua and Barbuda,0.028960817717206,0.0,0.040885860306644005,0.31856899488927004,0.1282793867121,0.0034071550255536996,0.000511073253833,0.3954003407155,0.083986371379898
Argentina,0.0025726322482106,0.047961486939885,0.23404578814376997,0.030406942536936002,0.014658630583258002,0.33626920195167,0.16897298598826002,0.13203530631997,0.033077025288031
Armenia,0.023762101917487,0.01237375321498,0.56038935240365,0.11018495284696,0.044795391338896,0.023202747631892996,0.013390523388328001,0.21148035464107,0.0004208226167325
Aruba,0.17770183682187,0.0,0.082870568133276,0.085860743272106,0.035027765912002996,0.5429303716360501,0.059376334899615996,0.0021358393848783,0.014096539940196003
Australia,0.0015931856685273001,0.043238829779672,0.08178166883883599,0.16812555426362,0.0016437238986760998,0.21624848150037998,0.35713071601099,0.11719763511518,0.013040204924113999
Austria,0.028034559344408,0.028367108745497,0.22970504434145997,0.15325460848066,0.0082372763006505,0.0,0.01404353357229,0.53686462107332,0.0014932481417305
Azerbaijan,0.009459850102300901,0.023640957669853,0.30753203844285,0.022711417646923998,0.48476214972997,0.03289840792845201,0.050496886931107994,0.06822701953580201,0.00027127201273990004
Bahamas,0.01070962692408,0.00041090529611269994,0.022508478998174,0.12024523871640999,0.15478737281503002,0.0011805374380380999,0.0031763631620141,0.4731215757892,0.21385990086094
Bahrain,0.33851784080512,0.55786825251601,0.010178408051234999,0.0,0.054551692589204004,0.0033165599268070002,0.032593778591034,0.0014867337602928,0.0014867337602928
Bangladesh,0.007874613489325699,0.0024011657618517,0.74395706616601,0.008574884741293,0.082056608101693,0.030165573168993997,0.00011111924029649999,0.12229442527974,0.0025645440508024
Barbados,0.16965713270563001,0.0,0.70794101971931,0.008349618049387102,0.013679161485166,0.0,0.0003553028957186,0.098596553561911,0.0014212115828744
Belarus,0.009268483199264,2.98706303e-06,0.51925162122846,0.017302189218495,0.010969988977736999,0.0,3.88318193902e-05,0.44115709860593993,0.0020087998876864004
Belgium,0.11333710173160999,0.0001665497453808,0.5066973185491,0.1465309706822,0.0052034178026537006,0.0,0.00011355664457780001,0.22459737860795,0.0033537062365309005
Belize,0.0016296893338423998,0.0003535117860829,0.12697082820741,0.015045461615689999,0.022607078720005,0.017208953746518,0.0,0.8110373449850798,0.0051471316053677
Benin,0.0047263728004009005,2.19893278462e-05,0.40134321475977003,0.00010528223635459998,0.0018724245832689001,0.24440205020496997,3.3317163403e-06,0.34727212392919,0.0002532104418655
Bermuda,0.046987951807229006,0.0,0.040963855421687,0.0,0.46506024096386006,0.0,0.32650602409639,0.0,0.12048192771084
Bhutan,8.37835849566e-05,0.029377385788668997,0.037105910625393,0.14127751575539998,0.0003085688128888,0.008791145914221999,0.0013180588365117,0.78171310865709,2.45220248653e-05
Bolivia,0.0012359638551441999,0.07988918846996,0.07352751809032201,0.091685910685311,0.011860788231696,0.086711368776818,0.065626137233801,0.56328507003146,0.026178054625492
Bosnia and Herzegovina,0.0090620697184935,0.0002532405694425,0.29395467752012,0.10011797674433,0.0046007897466380995,0.016114895397997,0.0006778355361725,0.57405694425068,0.0011615705161255
Botswana,0.0009804941254144,0.015464594878501001,0.059920666693445,0.053086069349078,0.0011112355423002,0.7667924249247701,0.0009311502132428,0.088744826536863,0.012968537736388999
Bouvet Island,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brazil,0.0031094673848611,0.0004374667351019001,0.24855129032002002,0.052149176075196,0.015467918493533,0.15015734951991,0.00018662833338559999,0.5135367099362099,0.01640399320179
British Indian Ocean Territory,0.0,0.0,0.35333333333333,0.185,0.38166666666667,0.0,0.073333333333333,0.006666666666666701,0.0
British Virgin Islands,0.12113659022931002,0.0,0.0044865403788634,0.080757726819541,0.18594217347956,0.0,0.0019940179461614997,0.45363908275175,0.15204386839482
Brunei Darussalam,0.017242052389813998,0.0,0.11312087654689998,0.0,0.014118963655055002,0.0005205147891264,0.00033833461293220003,0.85465925800617,0.0
Bulgaria,0.02081028077838,0.0049389881511606995,0.5597668368902099,0.016404372086679,0.0082808257025027,0.0019680792576416,0.0011907297064444001,0.38595022457538003,0.0006896628515992999
Burkina Faso,0.0020771870334059,0.0042305469607296,0.7155324682041401,0.15565579521127998,0.0037549582651244,0.083546205184479,0.0051325352138013,0.029164099462124,0.0009062044649121001
Burundi,0.0043931732888204,0.0,0.56618771454949,0.12576423208074,0.07411800686558401,0.074312369769709,0.0,0.14670969327819,0.0085148101674665
Cabo Verde,0.0080156143409384,0.32941711513681,0.064428105813689,0.13308193739104,0.088721291594027,0.32704843477601997,0.014117334950353,0.035056469339801,0.0001136966573183
Cambodia,0.0020687786330649,0.00012194192515810001,0.43951341784586,0.0065298207284335994,0.023095292533598,0.029897788955788,1.99002447307e-05,0.46255451396828,0.036198545165087005
