Country,temp_slope,gain_percentage,temp_difference
Afghanistan,0.045064379772062325,7.055883376520367,0.9098199999999963
Albania,0.05064456039884722,15.101959739464444,1.6669013333333336
Algeria,0.0385950826210666,5.327524462219846,1.1994100000000039
Andorra,0.030290909116797896,9.864854014419123,1.1036944999999996
Angola,0.006469259259259846,1.8925828061577166,0.41100999999999743
Antigua and Barbuda,0.01059810826210689,1.051338337119745,0.2741916666666704
Argentina,0.014948632193741176,2.800368874182624,0.40420550000000155
Armenia,0.05355065584043684,12.984588848543787,0.9545473333333341
Australia,0.017803957264966603,0.6474081622362515,0.14337166666667045
Austria,0.03852467720796543,25.62576702583328,1.5839818333333335
Azerbaijan,0.05396775185183571,8.63083807476519,1.0246910000000007
Bahamas,0.015512586894584613,0.6074320732889493,0.155420000000003
Bahrain,0.060113222222209425,5.59441701396306,1.5016683333333347
Bangladesh,0.012794319088308487,0.3342705780746469,0.08327833333333601
Barbados,0.017874894586893435,1.265273868789163,0.33544666666666956
Belarus,0.04880441566950302,11.618440637823735,0.8241415000000023
Belgium,0.028669557834747967,11.555841399115984,1.1202813333333346
Belize,0.029017131054129494,1.872934609495469,0.47735499999999575
Benin,0.03553283190883223,2.801917410006194,0.7677199999999971
Bhutan,0.030743976638164142,5.101472778554039,0.593806500000003
Bolivia,-0.0057753390313365,-0.5303803461103151,-0.1121233333333258
Bosnia and Herzegovina,0.05462135669514406,20.962542516105277,1.9359895000000016
Botswana,0.025406495726502186,3.7526731095361976,0.8139466666666664
Brazil,0.03328135042735172,3.1260371011519794,0.7843216666666635
Brunei,0.011475829059828907,1.1308451893718097,0.29011833333333925
Bulgaria,0.06611431339029866,19.58766899541122,1.9717388333333332
Burkina Faso,0.028350464387462092,1.80104744640881,0.5110249999999965
Burundi,0.013332227920227013,1.7763895849256528,0.36450833333333676
Cambodia,0.0076968091168087725,0.12608405643859122,0.03493833333333285
Cameroon,0.022058054131053717,1.468720598104123,0.36294166666666783
Canada,0.03796897150994491,-11.422165575398068,0.7480031666666669
Cape Verde,0.022050940170938702,2.3938311582351934,0.5501283333333298
Central African Republic,0.02964021652421595,1.5570145494316234,0.39149833333333817
Chad,0.038938700854692684,1.8091226154677287,0.49377333333333695
Chile,0.014697275213681494,6.819008147272143,0.5574278333333336
China,0.026643038461518095,8.80673549636537,0.5791924999999987
Colombia,0.02008341880341939,2.043438074820969,0.5035200000000053
Comoros,0.018524757834759868,1.9359333033075465,0.4907316666666688
Congo (Democratic Republic of the),0.01884019088319072,1.4512249559629486,0.3516533333333349
Congo (Republic of the),0.022465398860399395,1.4632151336033683,0.3607566666666635
Costa Rica,0.01810790028489984,1.7810787584860543,0.4399016666666675
Cote d'Ivoire,0.02119650142450185,1.6535718892400464,0.43693666666666786
Croatia,0.049473639031326344,18.156672173406218,1.856674666666665
Cuba,0.0068639544159529555,0.05547240516194929,0.014469999999995764
Cyprus,0.0613408831908727,7.313739007977049,1.3658755000000014
Czech Republic,0.04742767378916241,20.827909484112016,1.6169055000000014
Denmark,0.03690122222221373,10.069062145432707,0.8312380000000026
Djibouti,0.04037362678062265,2.5090111155933625,0.7028166666666635
Dominica,0.0157022649572637,1.4857203982633127,0.36806333333333185
Dominican Republic,0.004396256410253432,1.7687570570876776,0.42960500000000224
Ecuador,0.0064502393162396005,0.8407271616254208,0.18344666666666498
Egypt,0.056345515669503285,5.188862065766298,1.1605050000000041
El Salvador,0.028094156695156525,2.2684672493355817,0.5467616666666721
Equatorial Guinea,0.022237860398861296,1.8665257812801928,0.45898833333333755
Eritrea,0.05023807122506728,3.2875570371435847,0.8722083333333295
Estonia,0.03756242450141364,6.590420030581057,0.4084559999999966
Ethiopia,0.039366390313390065,2.8797840509667827,0.6591283333333351
Faroe Islands,0.03147194017093777,0.55162946233549,0.038408166666667576
Federated States of Micronesia,0.026315780626780996,2.4465109859247436,0.6587783333333341
Fiji,0.015346321937324124,1.3282535753041058,0.3190633333333359
Finland,0.04960679173787755,38.881253579252494,0.8390499999999999
France,0.02656571396010349,9.82597189942711,1.0567425000000021
Gabon,0.021842245014246073,1.646060961745932,0.4122999999999948
Gambia,0.019083985754981613,1.501021134550462,0.4155683333333329
Georgia,0.05509252621080953,14.039603528076139,0.9217336666666665
Germany,0.034687793732183635,13.410812219002754,1.1642603333333348
Ghana,0.028310794871795702,2.2993828010489548,0.6261966666666616
Greece,0.05060034501423213,12.81376751620924,1.6855238333333329
Greenland,0.07988932478631489,-6.363122538449506,1.1211116666666676
Grenada,0.024450572649571425,1.7334179961209006,0.4670433333333328
Guatemala,0.033178772079771025,2.6794041635566757,0.633894999999999
Guinea,0.02509907122507059,1.4408430460536303,0.37433666666666454
Guinea-Bissau,0.020496965811962385,1.53959350931403,0.41866666666666674
Guyana,0.027835353276353194,2.2809477998153804,0.5852299999999957
Haiti,0.0011413333333306465,1.1280033875616269,0.28214833333332834
Honduras,0.022430173789172322,1.799245427808538,0.42828833333333094
Hungary,0.057306449002835186,20.65759527526103,1.9898261666666706
Iceland,0.04299941139600857,4.937791578676021,0.12417883333333402
India,0.02312123361822328,1.7174503023874355,0.4155600000000028
Indonesia,0.01382503418803416,1.5450357150389227,0.40293166666666735
Iran,0.04678605441593821,5.930121430095725,1.0175158333333307
Iraq,0.04406841282049557,4.18610056890425,0.9118503333333301
Ireland,0.006155903133895164,3.2889976678010413,0.3075298333333336
Israel,0.05888299857548786,6.205083424400537,1.2151166666666597
Italy,0.03871507492876414,11.70402959151624,1.3699750000000037
