"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"South Sudan","17","22","4","0","0","0","1","18","0","0","62"
"Sudan","18","26","6","0","46","0","50","19","0","0","165"
"Tanzania, United Republic of","46","50","35","61","207","11","137","863","0","0","1,410"
"Togo","15","14","6","2","44","4","1","14","0","0","100"
"Uganda","33","30","4","2","61","14","17","108","0","0","269"
"Zambia","14","21","3","0","25","12","1","36","0","0","112"
"Zimbabwe","10","20","3","6","4","0","8","73","0","0","124"
"Afghanistan","12","16","1","1","5","0","2","8","0","0","45"
"Armenia","7","14","7","0","4","2","7","76","0","0","117"
"Azerbaijan","6","17","9","1","14","2","5","46","0","0","100"
"Bahrain","3","7","4","0","23","0","13","0","0","0","50"
"Cyprus","7","8","5","0","30","6","10","23","1","0","90"
"Georgia","8","14","7","1","11","4","11","65","4","0","125"
"Iran, Islamic Republic of","18","28","15","4","68","2","22","13","0","0","170"
"Iraq","13","17","3","1","30","1","16","4","0","0","85"
"Israel","16","18","11","1","71","11","63","39","1","0","231"
"Jordan","13","14","6","0","24","6","55","8","0","0","126"
"Kazakhstan","17","27","1","1","24","2","6","13","1","0","92"
"Kuwait","7","11","4","0","25","0","13","0","0","0","60"
"Kyrgyzstan","5","15","3","0","12","0","4","12","0","0","51"
"Lebanon","10","11","8","0","36","10","8","100","0","0","183"
"Oman","9","13","8","0","56","2","29","6","0","0","123"
"Pakistan","24","33","12","0","68","0","18","17","0","0","172"
"Palestine, State of","5","15","4","0","7","2","1","11","0","0","45"
"Qatar","4","9","3","0","28","0","13","0","0","0","57"
"Saudi Arabia","11","19","3","0","60","1","59","4","0","0","157"
"Syrian Arab Republic","15","17","9","0","56","10","13","44","0","0","164"
"Tajikistan","7","15","5","0","6","0","3","11","1","0","48"
"Turkey","18","21","21","10","143","46","42","132","7","0","440"
"Turkmenistan","9","19","6","0","14","1","6","4","0","0","59"
"United Arab Emirates","8","13","4","0","40","0","15","0","0","0","80"
"Uzbekistan","10","19","7","0","8","1","2","14","0","0","61"
"Yemen","12","17","7","1","58","2","66","163","0","0","326"
