,Country,Relative
0,Argentina,0.0801665799062988
1,Armenia,0.06363636363636363
2,Australia,0.10544662309368191
3,Austria,0.04470588235294118
4,Azerbaijan,0.06432748538011696
5,Belarus,0.037037037037037035
6,Belgium,0.03089887640449438
7,Brazil,0.08838643371017471
8,Bulgaria,0.06118143459915612
9,Canada,0.05795314426633785
10,Chile,0.15013054830287206
11,Colombia,0.14210380238689982
12,Costa Rica,0.07090788601722996
13,Croatia,0.06813186813186813
14,Cyprus,0.06042296072507553
15,Denmark,0.03081232492997199
16,Estonia,0.03067484662576687
17,Finland,0.03903903903903904
18,France,0.06909090909090909
19,Georgia,0.06607929515418502
20,Germany,0.04054054054054054
21,Greece,0.08365019011406843
22,Greenland,0.14285714285714285
23,Hungary,0.050505050505050504
24,Iceland,0.09701492537313433
25,India,0.1451831750339213
26,Indonesia,0.13466706479546134
27,Ireland,0.05303030303030303
28,Israel,0.08214285714285714
29,Italy,0.07233273056057866
30,Japan,0.17146776406035666
31,Kazakhstan,0.07087827426810478
32,Kyrgyzstan,0.053488372093023255
33,Latvia,0.0345821325648415
34,Lithuania,0.034161490683229816
35,Luxembourg,0.011627906976744186
36,Malta,0.037815126050420166
37,Mexico,0.175177304964539
38,Moldova,0.05740181268882175
39,Netherlands,0.037940379403794036
40,New Caledonia,0.3053435114503817
41,New Zealand,0.36716417910447763
42,Northern Mariana Islands,0.17482517482517482
43,Norway,0.05588235294117647
44,Peru,0.09978832778953735
45,Poland,0.03768844221105527
46,Portugal,0.08647450110864745
47,Puerto Rico,0.1111111111111111
48,Romania,0.07158351409978309
49,Saudi Arabia,0.05945945945945946
50,Slovenia,0.05238095238095238
51,South Africa,0.08248816768086545
52,Spain,0.11056105610561057
53,Sweden,0.03305785123966942
54,Switzerland,0.03731343283582089
55,Tajikistan,0.06192660550458716
56,Turkmenistan,0.06563706563706563
57,Ukraine,0.06666666666666667
58,United Kingdom,0.04481792717086835
59,United States,0.12148541114058356
60,Uzbekistan,0.07453416149068323
